house_id,land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
1197,279 sqm,271 sqm,5,5,Yes,Yes,Yes,Yes,3.3km,Yes,13 Years,Yes,2.8 km,3.66,medium,270125
1198,130 sqm,113 sqm,1,2,Yes,Yes,No,Yes,4.6km,No,20 Years,No,5.2 km,4.38,medium,95870
1199,178 sqm,156 sqm,2,1,No,Yes,Yes,No,5.1km,No,15 Years,No,2.3 km,1.51,medium,135966
1200,196 sqm,188 sqm,4,5,Yes,Yes,Yes,Yes,2.5km,No,7 Years,No,6.3 km,4.05,large,164687
1201,285 sqm,279 sqm,4,5,Yes,Yes,Yes,Yes,0.1km,Yes,10 Years,No,5.6 km,2.40,large,269106
1202,125 sqm,118 sqm,2,1,No,Yes,No,No,4.4km,No,1 Years,No,2.9 km,2.32,small,93430
1203,184 sqm,180 sqm,3,4,Yes,No,No,Yes,5.9km,No,18 Years,No,6.8 km,3.41,large,134254
1204,264 sqm,242 sqm,4,5,Yes,Yes,Yes,No,2.3km,Yes,9 Years,Yes,0.8 km,1.11,extra_large,263002
1205,199 sqm,183 sqm,4,5,Yes,Yes,Yes,Yes,1.2km,Yes,17 Years,No,2.1 km,4.39,extra_large,177902
1206,151 sqm,151 sqm,3,4,Yes,No,No,No,0.4km,Yes,8 Years,No,0.2 km,5.97,large,136013
1207,310 sqm,294 sqm,4,2,Yes,Yes,Yes,Yes,0.8km,Yes,16 Years,No,5.9 km,2.95,extra_large,259814
1208,255 sqm,250 sqm,5,5,Yes,Yes,No,Yes,6.7km,Yes,12 Years,No,4.2 km,0.71,extra_large,214934
1209,162 sqm,152 sqm,2,1,No,Yes,No,No,4.5km,No,18 Years,No,6.7 km,2.41,medium,104462
1210,160 sqm,141 sqm,3,4,Yes,Yes,No,Yes,5.4km,Yes,1 Years,No,0.5 km,0.54,large,163675
1211,196 sqm,183 sqm,3,3,No,Yes,No,No,2.4km,No,21 Years,No,1.8 km,1.46,large,143390
1212,222 sqm,195 sqm,3,2,Yes,Yes,No,Yes,0.7km,No,15 Years,No,1.3 km,3.56,large,182533
1213,384 sqm,364 sqm,6,6,Yes,Yes,Yes,Yes,6.2km,No,9 Years,No,0.4 km,4.10,large,294804
1214,478 sqm,475 sqm,7,6,Yes,Yes,Yes,Yes,3.1km,Yes,20 Years,No,4.3 km,4.56,large,381565
1215,332 sqm,287 sqm,5,4,Yes,Yes,Yes,Yes,0.8km,Yes,3 Years,No,5.1 km,0.13,extra_large,302205
1216,191 sqm,182 sqm,4,3,No,Yes,Yes,No,4.7km,No,4 Years,No,0.3 km,1.56,extra_large,141317
1217,330 sqm,286 sqm,6,7,Yes,Yes,Yes,Yes,6.7km,Yes,11 Years,No,6.1 km,5.13,large,271701
1218,246 sqm,245 sqm,5,5,Yes,No,Yes,Yes,0.3km,Yes,7 Years,No,5.9 km,4.72,medium,219134
1219,112 sqm,105 sqm,1,1,Yes,No,Yes,No,6.9km,Yes,5 Years,No,2.9 km,4.23,large,85401
1220,309 sqm,309 sqm,4,2,Yes,No,Yes,Yes,4.5km,Yes,3 Years,No,5.7 km,5.68,large,262053
1221,151 sqm,151 sqm,2,1,No,No,No,Yes,0.7km,No,11 Years,No,3.7 km,0.32,medium,137281
1222,288 sqm,280 sqm,4,4,Yes,Yes,Yes,Yes,2.1km,No,6 Years,No,3.9 km,4.84,large,223190
1223,275 sqm,238 sqm,5,2,Yes,Yes,Yes,Yes,5.8km,No,20 Years,No,2.1 km,5.93,large,207272
1224,329 sqm,312 sqm,5,5,Yes,Yes,Yes,Yes,2.2km,Yes,17 Years,No,3.6 km,0.98,medium,278275
1225,125 sqm,112 sqm,2,3,No,Yes,Yes,No,4.9km,Yes,2 Years,No,5.4 km,0.45,medium,116903
1226,319 sqm,280 sqm,5,3,Yes,Yes,Yes,No,4.3km,Yes,13 Years,No,2.3 km,3.99,large,250610
1227,436 sqm,386 sqm,6,4,Yes,Yes,Yes,Yes,5.9km,Yes,17 Years,Yes,0.9 km,3.46,medium,408151
1228,451 sqm,448 sqm,6,6,Yes,Yes,Yes,Yes,4.3km,Yes,10 Years,No,0.2 km,0.20,medium,377963
1229,341 sqm,306 sqm,6,4,Yes,Yes,Yes,Yes,0.3km,Yes,1 Years,No,6.5 km,1.27,large,316906
1230,254 sqm,249 sqm,5,3,Yes,Yes,Yes,Yes,3.2km,Yes,17 Years,No,5.3 km,2.83,large,220707
1231,330 sqm,310 sqm,5,3,Yes,Yes,Yes,Yes,1.2km,Yes,16 Years,No,1.4 km,4.23,large,293065
1232,514 sqm,497 sqm,7,6,Yes,Yes,Yes,Yes,1.5km,Yes,17 Years,No,0.1 km,2.17,extra_large,410453
1233,217 sqm,212 sqm,3,1,No,No,No,Yes,2.5km,No,11 Years,No,4.8 km,2.94,medium,159474
1234,227 sqm,196 sqm,4,2,No,Yes,Yes,Yes,3.3km,Yes,12 Years,No,0.7 km,1.93,extra_large,201468
1235,359 sqm,325 sqm,5,2,Yes,Yes,Yes,No,5.3km,Yes,13 Years,No,2.5 km,0.06,large,292164
1236,271 sqm,238 sqm,4,3,Yes,Yes,Yes,Yes,5.3km,No,8 Years,No,0.7 km,4.25,extra_large,213943
1237,129 sqm,123 sqm,1,2,Yes,No,No,No,4.6km,No,19 Years,No,6.7 km,4.54,medium,76497
1238,205 sqm,185 sqm,3,1,Yes,No,No,Yes,3.4km,Yes,19 Years,No,1.7 km,1.19,large,182300
1239,164 sqm,148 sqm,3,4,No,No,No,No,3.4km,No,21 Years,No,1.2 km,0.82,medium,114031
1240,211 sqm,194 sqm,4,4,Yes,Yes,Yes,Yes,0.9km,No,5 Years,No,3.2 km,2.01,large,199066
1241,237 sqm,219 sqm,3,2,Yes,Yes,No,Yes,5.3km,No,13 Years,No,4.8 km,0.70,large,181745
1242,214 sqm,207 sqm,3,3,Yes,Yes,No,Yes,4.1km,No,4 Years,No,2.4 km,5.64,large,166525
1243,290 sqm,264 sqm,4,4,Yes,Yes,Yes,No,4.9km,Yes,7 Years,No,0.7 km,5.29,extra_large,222395
1244,475 sqm,416 sqm,7,5,Yes,Yes,Yes,Yes,2.8km,Yes,18 Years,No,4.8 km,0.39,large,404497
1245,186 sqm,169 sqm,3,4,Yes,Yes,No,No,3.1km,Yes,20 Years,No,6.2 km,1.76,medium,145613
1246,173 sqm,161 sqm,2,1,No,Yes,No,No,0.3km,Yes,12 Years,No,6.4 km,2.83,small,143296
1247,219 sqm,208 sqm,4,3,Yes,Yes,Yes,Yes,4.5km,Yes,1 Years,No,2.5 km,0.51,large,205677
1248,269 sqm,240 sqm,5,2,Yes,Yes,Yes,No,5.1km,Yes,11 Years,No,6.3 km,4.24,extra_large,205457
1249,138 sqm,131 sqm,1,1,No,Yes,No,No,5.2km,No,19 Years,No,1.3 km,1.06,large,102642
1250,287 sqm,282 sqm,4,4,Yes,Yes,Yes,Yes,4.3km,Yes,10 Years,No,3.4 km,3.35,extra_large,231982
1251,148 sqm,130 sqm,2,3,No,Yes,No,No,3.9km,No,20 Years,No,4.5 km,4.29,medium,97321
1252,266 sqm,240 sqm,4,2,Yes,Yes,No,Yes,6.3km,Yes,3 Years,No,3.3 km,2.01,extra_large,223148
1253,233 sqm,214 sqm,5,4,Yes,Yes,Yes,Yes,3.6km,Yes,14 Years,Yes,3.6 km,1.60,large,249523
1254,150 sqm,129 sqm,1,1,No,No,No,Yes,3.3km,Yes,20 Years,No,1.7 km,0.12,medium,131884
1255,234 sqm,222 sqm,3,1,No,No,Yes,No,1.5km,Yes,12 Years,No,6.7 km,3.16,medium,175040
1256,296 sqm,255 sqm,4,3,Yes,Yes,Yes,Yes,4.5km,No,21 Years,No,0.6 km,3.32,extra_large,227810
1257,408 sqm,371 sqm,7,6,Yes,Yes,Yes,Yes,6.3km,Yes,2 Years,No,0.4 km,3.47,large,344521
1258,284 sqm,246 sqm,4,3,Yes,Yes,Yes,Yes,6.4km,Yes,11 Years,No,6.4 km,4.93,large,235753
1259,103 sqm,101 sqm,1,1,No,No,No,No,1.7km,No,20 Years,No,5.9 km,3.37,medium,65540
1260,227 sqm,226 sqm,4,3,Yes,Yes,Yes,Yes,1.8km,Yes,5 Years,No,5.1 km,1.94,large,212181
1261,787 sqm,689 sqm,8,5,Yes,Yes,Yes,Yes,0.9km,Yes,4 Years,No,4.9 km,2.46,large,664664
1262,131 sqm,120 sqm,2,3,Yes,Yes,No,No,3.1km,Yes,17 Years,No,3.3 km,4.22,medium,94041
1263,292 sqm,262 sqm,5,4,Yes,Yes,Yes,Yes,2.5km,Yes,5 Years,Yes,6.1 km,0.45,medium,295119
1264,239 sqm,207 sqm,5,4,Yes,Yes,Yes,Yes,3.3km,Yes,22 Years,No,5.8 km,5.14,extra_large,204098
1265,202 sqm,196 sqm,4,2,Yes,Yes,No,Yes,5.3km,Yes,8 Years,No,1.4 km,0.56,extra_large,182564
1266,303 sqm,263 sqm,5,2,Yes,Yes,Yes,Yes,6.8km,Yes,10 Years,No,6.2 km,0.73,extra_large,265710
1267,307 sqm,293 sqm,6,7,No,Yes,Yes,Yes,1.1km,No,18 Years,No,0.6 km,0.98,large,250642
1268,359 sqm,317 sqm,5,5,Yes,Yes,Yes,Yes,4.2km,Yes,12 Years,No,3.7 km,4.10,large,311917
1269,160 sqm,147 sqm,3,4,Yes,No,No,No,2.7km,Yes,7 Years,No,3.5 km,5.79,medium,116061
1270,358 sqm,316 sqm,5,4,Yes,Yes,No,Yes,2.8km,Yes,14 Years,No,1.6 km,0.41,medium,299574
1271,407 sqm,396 sqm,6,7,Yes,Yes,Yes,Yes,6.8km,Yes,20 Years,No,3.7 km,0.61,large,325621
1272,148 sqm,131 sqm,2,3,No,No,No,Yes,4.3km,Yes,15 Years,No,6.5 km,1.87,small,121043
1273,773 sqm,760 sqm,8,9,Yes,Yes,Yes,Yes,3.5km,Yes,16 Years,No,6.5 km,4.08,extra_large,576789
1274,231 sqm,224 sqm,3,4,No,Yes,No,No,3.1km,No,5 Years,Yes,1.6 km,1.33,medium,202344
1275,205 sqm,202 sqm,4,4,Yes,Yes,Yes,No,2.7km,No,13 Years,No,1.6 km,1.72,large,161000
1276,451 sqm,417 sqm,7,6,Yes,Yes,Yes,Yes,2.3km,Yes,3 Years,No,0.7 km,0.18,extra_large,389283
1277,427 sqm,397 sqm,6,6,Yes,Yes,Yes,Yes,5.4km,Yes,8 Years,No,0.7 km,2.10,extra_large,354297
1278,330 sqm,312 sqm,5,5,Yes,Yes,Yes,Yes,2.5km,No,3 Years,No,3.8 km,3.22,extra_large,258187
1279,220 sqm,192 sqm,4,2,Yes,Yes,Yes,Yes,2.1km,No,3 Years,No,2.1 km,5.11,large,184420
1280,306 sqm,269 sqm,4,4,Yes,Yes,Yes,Yes,6.8km,No,7 Years,No,1.8 km,1.99,extra_large,236124
1281,585 sqm,584 sqm,7,5,Yes,Yes,Yes,Yes,5.7km,Yes,5 Years,No,5.2 km,2.18,extra_large,466085
1282,106 sqm,96 sqm,1,2,Yes,Yes,No,No,5.8km,No,8 Years,No,3.5 km,3.14,large,82517
1283,413 sqm,394 sqm,7,6,Yes,Yes,Yes,Yes,1.5km,Yes,16 Years,No,0.8 km,3.75,extra_large,329782
1284,163 sqm,141 sqm,2,2,Yes,Yes,Yes,No,6.6km,No,15 Years,No,6.2 km,1.55,medium,119487
1285,185 sqm,158 sqm,3,1,No,Yes,No,Yes,3.1km,Yes,15 Years,No,3.9 km,2.49,medium,160156
1286,209 sqm,198 sqm,3,4,No,Yes,No,Yes,1.9km,Yes,3 Years,No,4.4 km,3.96,medium,175937
1287,465 sqm,429 sqm,7,8,Yes,Yes,Yes,Yes,6.7km,Yes,21 Years,Yes,6.4 km,3.13,large,426715
1288,302 sqm,299 sqm,4,5,Yes,Yes,No,Yes,0.8km,No,9 Years,No,3.4 km,0.18,large,259604
1289,200 sqm,196 sqm,3,4,No,No,No,No,3.5km,No,1 Years,No,3.1 km,3.79,medium,133156
1290,248 sqm,231 sqm,4,2,No,Yes,Yes,Yes,3.8km,Yes,22 Years,No,2.5 km,0.51,large,217731
1291,159 sqm,141 sqm,3,4,Yes,No,No,No,1.9km,Yes,10 Years,No,4.1 km,5.42,medium,113065
1292,314 sqm,306 sqm,5,4,Yes,Yes,Yes,Yes,1.3km,No,22 Years,No,1.3 km,3.57,extra_large,243494
1293,243 sqm,207 sqm,5,3,Yes,Yes,Yes,No,1.6km,Yes,15 Years,Yes,6.2 km,1.49,medium,238703
1294,344 sqm,328 sqm,5,5,Yes,Yes,Yes,Yes,5.2km,Yes,7 Years,No,2.5 km,1.52,large,296117
1295,222 sqm,208 sqm,4,3,Yes,Yes,No,Yes,5.1km,Yes,17 Years,No,6.1 km,0.65,large,192713
1296,308 sqm,292 sqm,4,5,Yes,Yes,Yes,Yes,1.7km,No,6 Years,No,6.4 km,5.87,extra_large,225370
1297,322 sqm,289 sqm,6,4,Yes,Yes,Yes,Yes,1.8km,Yes,7 Years,No,3.9 km,1.98,extra_large,278536
1298,506 sqm,459 sqm,7,7,Yes,Yes,Yes,Yes,3.5km,Yes,8 Years,No,1.5 km,2.23,extra_large,415232
1299,297 sqm,262 sqm,4,2,No,Yes,Yes,Yes,3.7km,Yes,16 Years,No,3.1 km,2.59,large,256089
1300,289 sqm,251 sqm,4,2,No,Yes,Yes,Yes,1.8km,Yes,16 Years,No,3.6 km,5.40,extra_large,230416
1301,132 sqm,116 sqm,1,1,Yes,Yes,No,No,4.5km,No,4 Years,No,5.8 km,2.43,small,95292
1302,296 sqm,290 sqm,4,4,Yes,Yes,Yes,Yes,5.6km,Yes,3 Years,No,3.8 km,2.82,large,263413
1303,103 sqm,98 sqm,1,1,No,No,No,No,6.1km,No,16 Years,No,2.4 km,0.45,large,71009
1304,254 sqm,235 sqm,4,4,Yes,Yes,Yes,Yes,4.7km,Yes,2 Years,No,2.7 km,5.86,extra_large,220118
1305,179 sqm,154 sqm,3,1,Yes,Yes,No,No,1.1km,No,13 Years,No,6.2 km,3.11,large,136777
1306,353 sqm,344 sqm,5,5,Yes,Yes,Yes,Yes,4.8km,Yes,9 Years,No,6.3 km,3.16,large,295900
1307,159 sqm,146 sqm,2,2,No,No,Yes,No,1.6km,No,6 Years,No,4.1 km,1.01,small,125241
1308,227 sqm,225 sqm,3,1,No,No,No,No,2.5km,Yes,8 Years,No,3.5 km,3.59,large,165546
1309,221 sqm,214 sqm,4,4,No,Yes,Yes,Yes,3.9km,Yes,16 Years,No,0.1 km,5.10,extra_large,187609
1310,164 sqm,142 sqm,3,4,Yes,Yes,Yes,No,0.1km,No,10 Years,No,0.1 km,5.59,medium,147135
1311,164 sqm,160 sqm,3,2,No,No,No,Yes,5.1km,No,12 Years,No,3.3 km,2.66,large,123829
1312,275 sqm,264 sqm,4,2,Yes,Yes,Yes,Yes,3.6km,No,7 Years,No,5.7 km,2.16,extra_large,213367
1313,348 sqm,330 sqm,5,4,Yes,Yes,Yes,Yes,4.8km,No,13 Years,No,2.7 km,2.35,large,265087
1314,157 sqm,150 sqm,3,4,Yes,Yes,No,Yes,5.1km,No,11 Years,No,6.2 km,5.15,large,115343
1315,195 sqm,187 sqm,4,3,Yes,Yes,Yes,Yes,4.7km,Yes,18 Years,Yes,3.4 km,0.43,large,203959
1316,167 sqm,161 sqm,2,2,Yes,Yes,No,No,0.7km,Yes,7 Years,No,1.7 km,4.31,small,143487
1317,199 sqm,174 sqm,4,3,Yes,Yes,Yes,Yes,4.7km,Yes,4 Years,No,5.6 km,2.35,large,194831
1318,199 sqm,187 sqm,3,2,No,No,Yes,No,6.7km,Yes,5 Years,No,0.5 km,2.38,large,157859
1319,106 sqm,95 sqm,1,1,Yes,Yes,Yes,No,5.2km,No,20 Years,No,1.1 km,5.88,small,73820
1320,253 sqm,231 sqm,5,4,Yes,Yes,Yes,No,2.7km,Yes,5 Years,Yes,6.5 km,0.07,large,253303
1321,472 sqm,434 sqm,7,7,Yes,Yes,Yes,Yes,4.3km,Yes,13 Years,Yes,3.4 km,4.29,large,432513
1322,199 sqm,174 sqm,4,5,Yes,Yes,Yes,Yes,4.5km,No,22 Years,No,3.3 km,4.59,large,152643
1323,335 sqm,306 sqm,5,5,Yes,Yes,Yes,Yes,5.3km,Yes,7 Years,No,1.7 km,1.12,extra_large,285373
1324,149 sqm,130 sqm,1,1,No,No,No,No,5.9km,No,19 Years,No,2.7 km,2.75,large,91116
1325,141 sqm,131 sqm,1,2,Yes,Yes,No,No,1.7km,No,5 Years,No,6.5 km,4.04,medium,107374
1326,190 sqm,186 sqm,3,3,No,No,No,No,4.7km,No,12 Years,Yes,1.9 km,2.09,medium,152465
1327,125 sqm,115 sqm,1,2,Yes,No,Yes,No,0.7km,No,22 Years,No,2.6 km,4.08,small,96967
1328,164 sqm,142 sqm,2,1,No,Yes,No,Yes,0.3km,Yes,4 Years,No,5.4 km,1.97,medium,159862
1329,433 sqm,387 sqm,6,4,Yes,Yes,Yes,Yes,5.4km,Yes,19 Years,No,3.5 km,5.63,large,335933
1330,408 sqm,369 sqm,6,4,Yes,Yes,Yes,Yes,4.2km,Yes,11 Years,No,6.1 km,1.68,large,349847
1331,218 sqm,198 sqm,3,3,Yes,Yes,No,Yes,3.1km,Yes,6 Years,No,2.9 km,3.86,medium,184838
1332,124 sqm,122 sqm,2,1,No,No,Yes,No,1.6km,No,13 Years,No,6.2 km,1.72,medium,89235
1333,305 sqm,265 sqm,4,3,Yes,Yes,Yes,Yes,4.2km,Yes,3 Years,No,3.7 km,4.79,extra_large,259628
1334,253 sqm,232 sqm,4,4,Yes,Yes,Yes,Yes,0.9km,Yes,13 Years,No,3.4 km,5.64,large,228989
1335,319 sqm,310 sqm,5,3,Yes,Yes,Yes,Yes,1.8km,Yes,14 Years,No,0.7 km,5.63,extra_large,263802
1336,349 sqm,326 sqm,5,4,Yes,Yes,Yes,No,2.1km,Yes,6 Years,No,0.7 km,3.68,extra_large,281620
1337,467 sqm,427 sqm,6,7,Yes,Yes,Yes,Yes,3.7km,Yes,7 Years,No,0.6 km,4.49,medium,386200
1338,274 sqm,247 sqm,4,5,Yes,Yes,Yes,No,6.6km,No,13 Years,Yes,5.2 km,0.74,extra_large,227780
1339,429 sqm,401 sqm,6,4,Yes,Yes,Yes,Yes,2.3km,Yes,14 Years,Yes,6.9 km,3.56,large,400613
1340,248 sqm,247 sqm,4,4,Yes,Yes,No,Yes,0.3km,Yes,22 Years,No,4.7 km,0.75,extra_large,226815
1341,271 sqm,232 sqm,4,4,Yes,Yes,Yes,Yes,2.5km,Yes,14 Years,No,3.9 km,0.84,large,254610
1342,424 sqm,403 sqm,6,5,Yes,Yes,Yes,Yes,4.1km,Yes,22 Years,No,6.4 km,3.07,extra_large,329386
1343,233 sqm,213 sqm,3,1,Yes,Yes,No,No,5.6km,No,19 Years,No,3.3 km,0.30,large,170249
1344,243 sqm,243 sqm,4,4,Yes,Yes,Yes,Yes,2.2km,Yes,18 Years,Yes,0.4 km,1.01,large,259599
1345,248 sqm,234 sqm,4,4,Yes,Yes,Yes,Yes,5.4km,Yes,5 Years,No,0.3 km,3.19,extra_large,209986
1346,261 sqm,226 sqm,4,2,Yes,Yes,Yes,Yes,5.1km,No,12 Years,No,6.8 km,5.32,extra_large,187009
1347,128 sqm,118 sqm,2,1,No,Yes,Yes,No,2.5km,Yes,15 Years,No,6.1 km,0.23,medium,112362
1348,278 sqm,246 sqm,4,2,Yes,Yes,Yes,Yes,0.5km,Yes,6 Years,No,3.2 km,3.56,extra_large,239343
1349,290 sqm,253 sqm,4,2,Yes,Yes,Yes,Yes,0.7km,Yes,14 Years,No,0.8 km,4.76,extra_large,256203
1350,355 sqm,351 sqm,5,3,Yes,No,Yes,Yes,5.3km,Yes,11 Years,No,6.9 km,5.77,medium,264162
1351,170 sqm,165 sqm,3,3,Yes,No,No,No,4.6km,No,21 Years,No,3.3 km,1.90,medium,113403
1352,114 sqm,107 sqm,1,1,No,Yes,No,Yes,6.6km,No,4 Years,No,6.1 km,5.56,small,77068
1353,184 sqm,159 sqm,3,3,Yes,Yes,No,Yes,2.3km,Yes,22 Years,No,6.3 km,0.13,medium,160047
1354,202 sqm,202 sqm,4,4,Yes,No,Yes,Yes,2.4km,Yes,3 Years,No,4.2 km,1.98,large,187661
1355,328 sqm,314 sqm,5,3,No,Yes,Yes,Yes,2.1km,Yes,15 Years,No,3.5 km,3.96,medium,267245
1356,244 sqm,242 sqm,5,2,Yes,Yes,Yes,Yes,6.2km,Yes,9 Years,No,6.6 km,0.92,medium,207250
1357,363 sqm,361 sqm,6,4,Yes,Yes,Yes,Yes,6.5km,Yes,17 Years,No,2.2 km,0.42,large,307768
1358,183 sqm,165 sqm,2,3,No,Yes,Yes,No,0.1km,No,16 Years,No,1.8 km,0.45,small,154757
1359,195 sqm,195 sqm,4,3,Yes,No,Yes,Yes,5.2km,Yes,18 Years,No,0.1 km,1.04,large,179776
1360,316 sqm,309 sqm,5,5,No,Yes,Yes,Yes,3.9km,Yes,1 Years,No,0.7 km,0.88,extra_large,283805
1361,157 sqm,138 sqm,3,2,Yes,No,No,No,3.6km,No,20 Years,No,4.8 km,2.94,medium,102872
1362,256 sqm,254 sqm,4,4,Yes,Yes,Yes,Yes,4.8km,No,17 Years,No,0.7 km,1.25,extra_large,196196
1363,267 sqm,267 sqm,4,5,Yes,Yes,Yes,Yes,3.5km,Yes,9 Years,No,3.6 km,2.91,extra_large,233192
1364,208 sqm,183 sqm,3,2,No,Yes,Yes,No,5.7km,No,3 Years,No,1.4 km,3.83,medium,155584
1365,141 sqm,136 sqm,2,1,Yes,No,No,Yes,2.6km,No,17 Years,No,6.4 km,2.06,medium,113642
1366,215 sqm,187 sqm,4,2,No,Yes,Yes,Yes,2.2km,Yes,11 Years,No,0.2 km,1.30,large,211885
1367,147 sqm,140 sqm,2,1,Yes,Yes,Yes,No,0.8km,No,6 Years,No,3.2 km,0.22,medium,130832
1368,194 sqm,166 sqm,4,5,Yes,Yes,No,Yes,3.5km,Yes,20 Years,No,4.1 km,0.91,large,176478
1369,124 sqm,118 sqm,1,1,No,No,No,No,2.1km,No,8 Years,No,3.4 km,0.48,small,88784
1370,303 sqm,281 sqm,4,4,Yes,Yes,Yes,Yes,4.3km,Yes,16 Years,No,3.4 km,2.24,extra_large,254698
1371,247 sqm,237 sqm,5,3,No,Yes,Yes,Yes,6.7km,Yes,2 Years,No,3.4 km,4.45,extra_large,196372
1372,125 sqm,112 sqm,2,3,No,No,No,Yes,5.2km,No,6 Years,No,5.6 km,5.87,small,82139
1373,316 sqm,276 sqm,5,4,Yes,Yes,Yes,Yes,2.2km,Yes,22 Years,No,6.3 km,2.23,medium,256795
1374,299 sqm,271 sqm,5,4,Yes,Yes,Yes,Yes,1.5km,Yes,13 Years,No,6.8 km,4.01,extra_large,254866
1375,324 sqm,314 sqm,6,6,Yes,Yes,Yes,Yes,6.9km,Yes,7 Years,No,5.1 km,0.67,extra_large,273265
1376,251 sqm,231 sqm,4,4,Yes,Yes,Yes,Yes,6.8km,Yes,21 Years,No,6.9 km,3.02,large,209696
1377,356 sqm,329 sqm,5,3,Yes,Yes,No,Yes,0.8km,Yes,13 Years,No,1.6 km,1.82,medium,300578
1378,159 sqm,145 sqm,3,1,Yes,Yes,No,No,5.7km,No,10 Years,No,2.3 km,4.66,medium,103958
1379,150 sqm,132 sqm,3,1,Yes,No,Yes,No,2.3km,Yes,15 Years,No,3.4 km,3.39,large,125862
1380,268 sqm,268 sqm,4,2,Yes,Yes,Yes,Yes,3.3km,No,1 Years,No,2.8 km,3.05,large,227510
1381,202 sqm,194 sqm,4,5,Yes,Yes,No,Yes,3.9km,No,5 Years,No,6.8 km,3.02,large,165028
1382,148 sqm,133 sqm,2,3,Yes,Yes,No,Yes,1.9km,No,14 Years,No,0.3 km,5.62,medium,122594
1383,316 sqm,270 sqm,6,4,Yes,Yes,Yes,Yes,0.1km,Yes,20 Years,No,2.5 km,2.87,medium,288403
1384,204 sqm,196 sqm,3,4,Yes,Yes,No,No,4.7km,No,13 Years,No,1.8 km,5.58,large,146437
1385,273 sqm,247 sqm,4,3,Yes,Yes,Yes,Yes,3.5km,Yes,3 Years,No,2.9 km,1.12,extra_large,249036
1386,253 sqm,236 sqm,4,4,No,Yes,No,Yes,6.3km,Yes,13 Years,No,5.5 km,3.53,large,203353
1387,114 sqm,99 sqm,1,2,Yes,Yes,Yes,No,1.1km,No,14 Years,No,5.2 km,2.89,medium,102817
1388,426 sqm,376 sqm,7,8,Yes,Yes,Yes,Yes,1.4km,Yes,14 Years,No,2.8 km,4.56,large,356970
1389,158 sqm,146 sqm,2,2,Yes,Yes,No,No,3.7km,Yes,9 Years,No,6.1 km,2.02,medium,127479
1390,278 sqm,247 sqm,4,5,Yes,Yes,Yes,Yes,5.6km,No,20 Years,No,2.8 km,4.41,large,209728
1391,218 sqm,188 sqm,3,2,No,Yes,No,No,3.1km,No,15 Years,No,2.3 km,1.68,large,156573
1392,157 sqm,135 sqm,3,2,Yes,No,No,No,5.5km,No,16 Years,No,5.8 km,3.11,large,100008
1393,346 sqm,332 sqm,5,2,Yes,Yes,No,No,5.9km,Yes,2 Years,No,1.2 km,2.07,medium,282242
1394,184 sqm,165 sqm,3,1,Yes,No,No,No,0.4km,Yes,19 Years,No,0.4 km,1.65,medium,164056
1395,306 sqm,300 sqm,4,4,Yes,Yes,Yes,Yes,3.5km,Yes,17 Years,No,6.1 km,4.21,extra_large,240409
1396,263 sqm,229 sqm,4,4,Yes,Yes,Yes,Yes,2.9km,Yes,20 Years,No,3.9 km,4.75,extra_large,221449
1397,415 sqm,415 sqm,6,5,Yes,Yes,Yes,Yes,6.2km,Yes,21 Years,No,6.1 km,2.94,extra_large,306285
1398,187 sqm,178 sqm,2,3,No,No,No,Yes,2.1km,No,12 Years,No,6.8 km,4.07,medium,133238
1399,360 sqm,357 sqm,5,5,Yes,No,Yes,Yes,5.6km,Yes,22 Years,No,5.4 km,5.87,extra_large,272688
1400,145 sqm,129 sqm,2,3,No,No,No,No,6.1km,No,10 Years,No,5.1 km,4.53,medium,83643
1401,482 sqm,452 sqm,8,9,Yes,Yes,Yes,Yes,0.4km,Yes,15 Years,No,6.5 km,3.25,extra_large,408741
1402,238 sqm,219 sqm,3,3,No,Yes,No,Yes,4.6km,Yes,8 Years,No,3.1 km,0.93,medium,203379
1403,176 sqm,163 sqm,2,2,No,Yes,Yes,No,1.8km,Yes,2 Years,No,0.8 km,3.34,small,156313
1404,163 sqm,154 sqm,2,1,No,No,No,No,1.7km,No,11 Years,No,5.5 km,2.67,medium,110137
1405,271 sqm,245 sqm,4,2,Yes,Yes,Yes,No,2.1km,Yes,15 Years,No,5.9 km,3.35,large,218900
1406,164 sqm,140 sqm,2,2,No,Yes,No,No,5.5km,Yes,12 Years,No,3.3 km,0.13,medium,130932
1407,245 sqm,214 sqm,4,4,Yes,Yes,Yes,Yes,3.8km,No,7 Years,No,5.7 km,4.29,extra_large,188687
1408,314 sqm,299 sqm,5,5,Yes,Yes,Yes,Yes,6.3km,Yes,1 Years,No,5.7 km,5.44,large,262114
1409,159 sqm,146 sqm,2,2,Yes,No,No,No,4.3km,No,17 Years,No,0.1 km,0.28,medium,116812
1410,264 sqm,237 sqm,5,4,Yes,Yes,No,Yes,6.4km,Yes,16 Years,No,5.1 km,0.67,large,227680
1411,319 sqm,291 sqm,5,3,Yes,Yes,Yes,Yes,0.2km,Yes,6 Years,No,0.9 km,2.85,extra_large,290569
1412,238 sqm,222 sqm,3,1,Yes,Yes,Yes,No,4.9km,Yes,7 Years,No,1.5 km,5.80,large,195404
